system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.811,0.599,0.689,0.829,0.744,0.784,0.838,0.936,0.884,0.82598,0.75968,0.78583
baseline,test,0.838,0.636,0.723,0.82,0.719,0.766,0.84,0.938,0.886,0.83245,0.76461,0.79193
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.817,0.599,0.691,0.838,0.743,0.787,0.838,0.94,0.886,0.83081,0.76045,0.7881
improved,test,0.843,0.632,0.722,0.834,0.729,0.778,0.84,0.942,0.888,0.83911,0.76765,0.79615
