system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,0.992,0.988,0.99,1.0,0.998,0.999,0.995,0.997,0.996,0.996,0.994,0.995
baseline,dev,0.764,0.8,0.782,0.897,0.886,0.891,0.922,0.909,0.916,0.861,0.865,0.863
baseline,test,0.768,0.81,0.788,0.859,0.876,0.867,0.922,0.899,0.91,0.85,0.862,0.855
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.821,0.811,0.816,0.894,0.944,0.918,0.94,0.93,0.935,0.885,0.895,0.89
improved,test,0.799,0.808,0.803,0.873,0.927,0.899,0.932,0.913,0.922,0.868,0.883,0.875
