system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,0.998,0.999,0.98,0.995,0.988,0.998,0.993,0.996,0.993,0.996,0.994
baseline,dev,0.897,0.889,0.893,0.732,0.816,0.772,0.929,0.893,0.91,0.853,0.866,0.859
baseline,test,0.861,0.869,0.865,0.75,0.836,0.791,0.931,0.89,0.91,0.847,0.865,0.855
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.852,0.939,0.893,0.807,0.798,0.803,0.936,0.913,0.925,0.865,0.883,0.874
improved,test,0.829,0.915,0.87,0.786,0.797,0.792,0.932,0.902,0.917,0.849,0.871,0.86
