system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996,0.99988,0.99992
baseline,dev,0.909,0.857,0.882,0.856,0.765,0.808,0.904,0.951,0.927,0.88965,0.85749,0.87225
baseline,test,0.906,0.853,0.879,0.87,0.78,0.823,0.905,0.952,0.927,0.89357,0.8615,0.87624
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996,0.99988,0.99992
improved,dev,0.913,0.86,0.886,0.866,0.765,0.813,0.904,0.955,0.929,0.89437,0.85987,0.87559
improved,test,0.91,0.853,0.881,0.878,0.777,0.825,0.903,0.955,0.928,0.89735,0.86183,0.87802
