jesu,0.05235964119681504
christ,0.03198095913886237
lord,0.022455567717483423
discipl,0.014420078314560495
israel,0.013785344585374348
king,0.010306937693677281
peopl,0.010054315146187515
land,0.00957735643325615
paul,0.00952635558135971
peter,0.00952635558135971
thing,0.009130037145618022
spirit,0.007754350542717604
john,0.006993858009509754
church,0.006333473138443152
pharise,0.0058250063117441225
judah,0.005598584940073744
apostl,0.0049522873203324685
gospel,0.0049451915710172194
world,0.004942684055782149
jew,0.004709364633576718
grace,0.004542138716105213
offer,0.004377879201691293
faith,0.004306654693632407
simon,0.004214470587692109
assuredli,0.0041361475816183765
immedi,0.004095771087415088
muhammad,0.0038174556446568995
synagogu,0.003737454493065973
demon,0.00366705175037271
teacher,0.0034096761414329014
baptiz,0.003406159888277001
messeng,0.0032236058564470106
preach,0.0031965513671078486
pilat,0.0031423238943777366
david,0.0031263131785079787
galile,0.0031146476904552
son,0.003072464796260584
receiv,0.002948799838266584
hour,0.002838933493219618
love,0.0028211734881733825
hous,0.002779535990058788
judea,0.002745101662755308
egypt,0.0026330048628897544
gentil,0.002585760109061904
aaron,0.0025856984101478445
bodi,0.0025229086524308857
brethren,0.002522699427022377
mose,0.0024669773128726882
children,0.0023690050496600777
crucifi,0.002359392678922415
pharaoh,0.0023501518395005884
jame,0.002339021955263504
herod,0.002339021955263504
multitud,0.002308965512482483
philistin,0.0022391596469570063
dead,0.0022233779972748954
boat,0.0021726149727584482
angel,0.002172239423206617
host,0.002135434017571144
philip,0.0020714082812287858
scriptur,0.0020457829712805476
sure,0.0020394257276306516
hundr,0.0020340392049633285
armi,0.001999469658500646
burnt,0.0019412347521284832
mind,0.0019349663836241125
worthi,0.0019252009181633541
doctrin,0.0019176665126563962
daughter,0.00190223224646199
inhabit,0.0018921911611798296
famili,0.0018385519632143168
levit,0.0018255265408931537
greek,0.0018244754735084459
barnaba,0.0018038713390641742
nazareth,0.0018038713390641742
bring,0.0017800244492651779
guidanc,0.001773464269334291
crowd,0.0017669098197731188
betray,0.0017410572098368082
camp,0.0017357258718309239
marvel,0.0017203887122141577
saint,0.0017178769236783774
year,0.0016875749068479599
conscienc,0.0016701316260287766
juda,0.0016701316260287766
joshua,0.001665952880399476
sat,0.001663194648253459
fellow,0.0016547360896562945
greet,0.0016304135791515718
anger,0.0016239975779639038
day,0.0016055454847739058
answer,0.0016051220640233236
favor,0.0015801110262837806
quran,0.0015770507160125643
statut,0.0015770507160125643
back,0.0015768787777575674
heard,0.001567767437572057
princ,0.0015412792665180917
belov,0.0015386579752233614
turn,0.0015328671972765864
disbeliev,0.0015145666057432084
moab,0.0014840568647755397
written,0.0014584957707258093
tribul,0.001447155377851912
likewis,0.0014441454975890357
mysteri,0.0014326717051856615
council,0.0014326717051856615
etern,0.0014319454526999962
heal,0.0014256838362363472
valley,0.0014239369752204617
iniqu,0.0014166585321012143
altar,0.0014156770048689613
exhort,0.001414540120787198
caesar,0.0014027096832760874
solomon,0.0013903665606890135
return,0.0013875239567498433
make,0.0013854086962194348
spiritu,0.0013835432329304355
punish,0.0013799762183226718
kingdom,0.00135470382315564
ark,0.001348688922834636
amen,0.0013447431331796143
meet,0.0013421755952115202
timothi,0.001335866168503268
centurion,0.001335866168503268
sexual,0.001335866168503268
twenti,0.0013335783370060862
member,0.001317408322752038
come,0.0013045767763817146
circumcis,0.0012852802697291606
babylon,0.0012821550268581957
creat,0.0012736117494069027
enemi,0.00126712320822413
ephraim,0.001263246706744634
began,0.0012470063427317659
collector,0.001237743420063581
baptism,0.001237743420063581
parabl,0.001233301258317292
gold,0.0012321054277634746
accus,0.0012235691823674108
act,0.0012205089392415699
battl,0.001217058153065129
asia,0.0012021934983289743
dwell,0.0011966681632584785
joab,0.001194923926477642
partak,0.0011935449801906142
beg,0.0011875507265443164
scribe,0.0011729298836262107
cover,0.0011640891309473522
gilead,0.0011639616545200376
grain,0.0011567447019188491
flesh,0.0011560691162871431
torment,0.0011536635690953265
glori,0.0011455575841359394
macedonia,0.0011353643412919424
lawless,0.0011353643412919424
persecut,0.0011351562121444379
wick,0.0011297991253207277
water,0.0011205282793162051
enter,0.001112642858804701
ram,0.001109713830262709
river,0.0011054072517872264
assyria,0.0011020465423185095
captiv,0.0011000989479834056
abid,0.0010975717604707427
bull,0.0010939963857242699
hide,0.0010932219425504148
tribe,0.0010870658084020468
jacob,0.0010869937654767754
bronz,0.0010832466992039959
saul,0.001081728005085139
gate,0.001081728005085139
ministri,0.0010803099029313935
author,0.0010733817741698326
law,0.0010698757624332512
antioch,0.0010685399685321014
caesarea,0.0010685399685321014
resist,0.0010685399685321014
leader,0.0010624084925218
shekel,0.0010607767852467995
call,0.0010594511383262202
cubit,0.0010593459592395374
sword,0.0010579023112966303
justifi,0.0010542397110709666
elect,0.0010439838593952174
border,0.0010433779317811172
made,0.0010379608194569893
hand,0.0010200535402210813
godli,0.0010181567960684415
sanctuari,0.0010152625278933489
lust,0.0010130987186445029
book,0.0010076828516304317
bondserv,0.001001720379231697
capernaum,0.001001720379231697
loud,0.0009919449523148136
face,0.0009887038741754639
terribl,0.0009885681501527394
manasseh,0.0009875871171141034
amaz,0.0009792719181787868
place,0.0009782538936934262
silver,0.0009782289342258174
boast,0.0009758389685233873
earth,0.0009724702816704387
tabernacl,0.0009709453114885021
edom,0.0009679402523960194
destroy,0.0009678884116525199
benjamin,0.0009674056883827665
consum,0.0009674056883827665
north,0.0009638054388767009
gift,0.0009585248646036585
path,0.0009582557442438546
tent,0.0009582557442438546
soldier,0.0009515162832429703
