system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,0.989,0.993,0.991,1.0,0.998,0.999,0.997,0.996,0.997,0.995,0.996,0.995
baseline,dev,0.756,0.807,0.781,0.902,0.887,0.894,0.925,0.906,0.915,0.861,0.867,0.864
baseline,test,0.761,0.818,0.788,0.859,0.876,0.867,0.925,0.896,0.911,0.848,0.863,0.855
improved,train,1.0,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.809,0.797,0.803,0.857,0.935,0.894,0.938,0.919,0.928,0.868,0.884,0.875
improved,test,0.788,0.8,0.794,0.846,0.924,0.884,0.933,0.905,0.919,0.856,0.876,0.865
