system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,0.999,0.998,0.999,0.99,0.992,0.991,0.997,0.996,0.997,0.995,0.996,0.995
baseline,dev,0.882,0.893,0.887,0.748,0.807,0.776,0.929,0.9,0.914,0.853,0.866,0.859
baseline,test,0.856,0.879,0.867,0.763,0.822,0.791,0.928,0.895,0.911,0.849,0.866,0.857
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.855,0.904,0.879,0.77,0.763,0.767,0.919,0.907,0.913,0.848,0.858,0.853
improved,test,0.828,0.879,0.853,0.729,0.757,0.743,0.915,0.888,0.901,0.824,0.841,0.832
