system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.87,0.944,0.905,0.862,0.806,0.833,0.835,0.673,0.745,0.856,0.807,0.828
baseline,test,0.87,0.949,0.908,0.875,0.781,0.825,0.859,0.71,0.777,0.868,0.813,0.837
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.87,0.944,0.905,0.862,0.806,0.833,0.835,0.673,0.745,0.856,0.807,0.828
improved,test,0.87,0.949,0.908,0.875,0.781,0.825,0.859,0.71,0.777,0.868,0.813,0.837
