system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.841,0.932,0.884,0.821,0.748,0.783,0.795,0.597,0.682,0.81893,0.75926,0.78306
baseline,test,0.846,0.937,0.889,0.83,0.739,0.782,0.83,0.647,0.727,0.83523,0.77405,0.79922
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.797,0.608,0.69,0.822,0.728,0.772,0.84,0.935,0.885,0.81975,0.75691,0.7823
improved,test,0.789,0.615,0.691,0.813,0.723,0.765,0.836,0.926,0.879,0.8126,0.75437,0.77825
