system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996,0.99988,0.99992
baseline,dev,0.904,0.951,0.927,0.896,0.861,0.878,0.863,0.758,0.807,0.8876,0.8568,0.87076
baseline,test,0.905,0.952,0.927,0.89,0.863,0.876,0.886,0.776,0.828,0.89368,0.86354,0.87712
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99996,0.99988,0.99992
improved,dev,0.904,0.955,0.929,0.902,0.864,0.883,0.872,0.76,0.812,0.89293,0.85959,0.8746
improved,test,0.903,0.955,0.928,0.898,0.863,0.88,0.891,0.773,0.827,0.89725,0.86348,0.87861

normalised + c=20 + top 5000 MI words

