system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macr
baseline,train,0.992,0.989,0.991,0.996,0.997,0.997,0.999,0.998,0.999,0.996,0.995,0.995
baseline,dev,0.778,0.798,0.788,0.926,0.909,0.917,0.861,0.888,0.874,0.855,0.865,0.86
baseline,test,0.0,0.0,0.0,0.621,0.995,0.764,0.556,0.016,0.031,0.392,0.337,0.265
improved,train,0.999,1.0,1.0,1.0,1.0,1.0,1.0,0.999,1.0,1.0,1.0,1.0
improved,dev,0.805,0.796,0.8,0.938,0.918,0.928,0.855,0.933,0.893,0.866,0.882,0.873
improved,test,0.214,0.004,0.007,0.869,0.404,0.551,0.207,0.911,0.338,0.43,0.439,0.299
