system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,0.993,0.989,0.991,0.999,0.998,0.999,0.996,0.997,0.997,0.996,0.995,0.995
baseline,dev,0.772,0.796,0.784,0.895,0.898,0.896,0.922,0.911,0.916,0.863,0.868,0.866
baseline,test,0.774,0.809,0.791,0.854,0.884,0.868,0.925,0.901,0.913,0.851,0.865,0.858
improved,train,0.978,0.988,0.983,0.999,0.998,0.998,0.996,0.992,0.994,0.991,0.993,0.992
improved,dev,0.715,0.779,0.745,0.86,0.882,0.871,0.923,0.888,0.905,0.832,0.85,0.84
improved,test,0.74,0.791,0.765,0.849,0.889,0.868,0.917,0.883,0.9,0.835,0.854,0.844
