system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.893,0.821,0.856,0.884,0.949,0.916,0.852,0.724,0.783,0.87643,0.83149,0.85133
baseline,test,0.893,0.821,0.855,0.886,0.947,0.916,0.856,0.742,0.795,0.87855,0.83657,0.85535
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.808,0.594,0.684,0.835,0.94,0.884,0.847,0.737,0.788,0.83006,0.75684,0.78566
improved,test,0.827,0.624,0.712,0.836,0.939,0.884,0.846,0.724,0.78,0.83613,0.76269,0.79211
