system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.907,0.818,0.86,0.928,0.961,0.944,0.908,0.905,0.907,0.914,0.895,0.904
baseline,test,0.897,0.835,0.865,0.927,0.956,0.942,0.925,0.902,0.913,0.917,0.898,0.907
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.892,0.801,0.844,0.919,0.964,0.941,0.932,0.884,0.907,0.914,0.883,0.898
improved,test,0.88,0.784,0.83,0.913,0.952,0.932,0.908,0.892,0.9,0.9,0.876,0.887
